name,formatted_address,business_status,url,vicinity,category_1,category_2,latitude,longitude
Pieces Unimagined Furnishings,"1310 Williamson St, Madison, WI 53703, USA",OPERATIONAL,https://maps.google.com/?cid=14711639551869305675,"1310 Williamson Street, Madison",gift&store,store,,
528 Organics,"413 E Washington Ave Suite 2, Madison, WI 53703, USA",OPERATIONAL,https://maps.google.com/?cid=13512399722845145142,"413 East Washington Avenue Suite 2, Madison",gift&store,store,,
Rewind Decor,"1336 Williamson St, Madison, WI 53703, USA",OPERATIONAL,https://maps.google.com/?cid=1357248349874229693,"1336 Williamson Street, Madison",gift&store,store,,
Capital Corner Cars,"648 E Washington Ave, Madison, WI 53703, USA",OPERATIONAL,https://maps.google.com/?cid=1247216642196575867,"648 East Washington Avenue, Madison",gift&store,store,,
Rick's Olde Gold,"1314 Williamson St, Madison, WI 53703, USA",OPERATIONAL,https://maps.google.com/?cid=1773707742044733797,"1314 Williamson Street, Madison",gift&store,store,,
Screen Door Studio,"853 Williamson St, Madison, WI 53703, USA",OPERATIONAL,https://maps.google.com/?cid=5485884047104599371,"853 Williamson Street, Madison",gift&store,store,,
U Frame It (East),"857 E Johnson St, Madison, WI 53703, USA",OPERATIONAL,https://maps.google.com/?cid=4696040449319546763,"857 East Johnson Street, Madison",gift&store,store,,
Cork 'n Bottle,"855 E Johnson St, Madison, WI 53703, USA",OPERATIONAL,https://maps.google.com/?cid=13486599777066758615,"855 East Johnson Street, Madison",gift&store,store,,
Door Pottery,"821 Williamson St, Madison, WI 53704, USA",OPERATIONAL,https://maps.google.com/?cid=17269269066490266102,"821 Williamson Street, Madison",gift&store,store,,
Duet Resource Group,"849 E Washington Ave, Madison, WI 53703, USA",OPERATIONAL,https://maps.google.com/?cid=3686340025822545362,"849 East Washington Avenue, Madison",gift&store,store,,
"STRUCK & IRWIN FENCE, INC.","826 Williamson St, Madison, WI 53703, USA",OPERATIONAL,https://maps.google.com/?cid=493518358161806259,"826 Williamson Street, Madison",gift&store,store,,
Madison Food Mart,"902 E Johnson St, Madison, WI 53703, USA",OPERATIONAL,https://maps.google.com/?cid=5200201902338750186,"902 East Johnson Street, Madison",gift&store,convenience_store,,
Pantry 41 Bp,"735 E Washington Ave, Madison, WI 53703, USA",OPERATIONAL,https://maps.google.com/?cid=13286460820234805494,"735 East Washington Avenue, Madison",gift&store,convenience_store,,
Audio for the Arts,"7 S Blair St # 1, Madison, WI 53703, USA",OPERATIONAL,https://maps.google.com/?cid=2238628945081761713,"7 South Blair Street # 1, Madison",gift&store,electronics_store,,
Smooth Sailin Records,"1147 Sherman Ave, Madison, WI 53703, USA",OPERATIONAL,https://maps.google.com/?cid=10748244758469770950,"1147 Sherman Avenue, Madison",gift&store,electronics_store,,
Blue Hill By Hand is now Metric Forrrest Studio,"1146 E Washington Ave, Madison, WI 53703, USA",OPERATIONAL,https://maps.google.com/?cid=16505412374327932448,"1146 East Washington Avenue, Madison",gift&store,jewelry_store,,
madison gem & mineral club,"217 N Paterson St, Madison, WI 53703, USA",OPERATIONAL,https://maps.google.com/?cid=19078979238792457,"217 North Paterson Street, Madison",gift&store,jewelry_store,,
Crystal Core Jewelry,"1115 E Wilson St #301, Madison, WI 53703, USA",OPERATIONAL,https://maps.google.com/?cid=12763030012332890413,"1115 East Wilson Street #301, Madison",gift&store,jewelry_store,,
Glass Tile Specialists,"931 E Main St #4, Madison, WI 53703, USA",OPERATIONAL,https://maps.google.com/?cid=16032457446746484051,"931 East Main Street #4, Madison",gift&store,hardware_store,,
Hallman Lindsay Paints,"637 E Washington Ave, Madison, WI 53703, USA",OPERATIONAL,https://maps.google.com/?cid=13147077317013870451,"637 East Washington Avenue, Madison",gift&store,home_goods_store,,
Newport's Wooden Furnishings,"1257 E Johnson St, Madison, WI 53703, USA",OPERATIONAL,https://maps.google.com/?cid=5777156067594114899,"1257 East Johnson Street, Madison",gift&store,home_goods_store,,
Modern Metal Creations,"1310 Williamson St, Madison, WI 53703, USA",OPERATIONAL,https://maps.google.com/?cid=1551898657035810359,"1310 Williamson Street, Madison",gift&store,home_goods_store,,
Green Life Trading Co.,"1334 Williamson St, Madison, WI 53703, USA",OPERATIONAL,https://maps.google.com/?cid=15516769889585381503,"1334 Williamson Street, Madison",gift&store,home_goods_store,,
